id,genre,track_name,artist_name,valence,energy
3ohNs5SYgwCjnxl8QSjqvR,acoustic,Only Girl (In The World) (feat. Alex Goot),Boyce Avenue,0.467,0.56
2Gb3up6s243JSVuRRjwQoF,acoustic,Nothing On You / Hey Soul Sister feat. Sam Tsui,Ahmir,0.369,0.698
5Ukzlujip1Slqka5OY82YS,acoustic,U.N.I.,Ed Sheeran,0.578,0.405
1nuqzCMgj2lxZCmpdCmIGv,acoustic,A Lack of Color,Various Artists,0.357,0.337
12jjuxN1gxlm29cqL5M6MW,acoustic,I Got You,Jack Johnson,0.544,0.399
3i508xSmrzqtAGl6wYPGae,acoustic,Something In The Air,The Jepettos,0.122,0.542
6Pw4WKCH1bfULx3vrxYMwe,acoustic,Moves Like Jagger,Tyler Ward,0.962,0.659
7JIuqL4ZqkpfGKQhYlrirs,acoustic,The Only Exception,Paramore,0.209,0.563
3XsQljVSwXVrBl2yUmftAc,acoustic,Blue Moon - Live From KCRW / 2014,Beck,0.473,0.828
6Xz1aikik2Qy81JXxpHvNB,acoustic,Utan dina andetag,Carolina Wallin Pérez,0.153,0.238
2oW5yMYx6yiuW6uZx7ZJdO,afrobeat,Amidinin,Tinariwen,0.919,0.684
27i5E9ok44Ymh7jtmN0OAy,afrobeat,Sabu Yerkoy,Ali Farka Touré,0.697,0.364
3oJOtvPbyOqRPlFvspQP3o,afrobeat,Djuru,Amadou & Mariam,0.697,0.798
7MJGB3W6xlzhuYLHcazBmy,afrobeat,Yori Yori,Various Artists,0.901,0.842
2lnzGkdtDj5mtlcOW2yRtG,afrobeat,"Whenever, Wherever",Shakira,0.871,0.832
5VAZqFBgO2KNRw6KXA7xMj,afrobeat,Weeping,Vusi Mahlasela,0.512,0.619
5dQ0kTDZeO4BVWLNytsKuv,afrobeat,Jiin Ma Jiin Ma,Orchestra Baobab,0.714,0.548
6C6xlP5zYRhYSNI5ORl6Wd,afrobeat,Don't Dull,WizKid,0.925,0.799
5ipni5g3JBMmFwWcUvIfFR,afrobeat,Barra,Habib Koité,0.969,0.522
5XT4rqhZ4WADgxMKxkhMtV,afrobeat,Olilili,Miriam Makeba,0.196,0.181
5u6fnmRO5V0PTl5M2Eekeu,alt-rock,Cold Hard Bitch,Jet,0.357,0.895
0j63xEjwIqH5UETVoHlxXQ,alt-rock,Tomorrow,Various Artists,0.494,0.687
5po4iBu6pAOAy8I6TM4a0e,alt-rock,Watch the Corners,Dinosaur Jr.,0.353,0.943
5ecF3MhOOM4bAZQad4HTy1,alt-rock,Goddess on a Hiway - Remastered,Mercury Rev,0.257,0.761
797NMFvQ1wbPr18I6VEgPz,alt-rock,I Will,Sebadoh,0.671,0.859
6mH3sA9TMhgALjjWO0LXW2,alt-rock,1000hp,Godsmack,0.429,0.955
0q6LuUqGLUiCPP1cbdwFs3,alt-rock,On Melancholy Hill,Gorillaz,0.578,0.739
5EBDvc4cX8tqalRFGRwm7A,alt-rock,Liar,Built To Spill,0.538,0.755
2SSBJhvMsujY94GK5JAtKs,alt-rock,Buena,Morphine,0.591,0.494
6qHdoyFDpGB7wVW5R0iExG,alt-rock,The Howl Of The Winds,The Thermals,0.622,0.884
6PvpKM4BW48ic8cbM4Vxcg,alternative,Man in the Box,Alice In Chains,0.685,0.849
4yYvWFUWMaKMXtoJKJnmZk,alternative,Shuffle,Bombay Bicycle Club,0.397,0.959
4YwLagaVWaegNK7RsUh1at,alternative,My Name Is Jonas,Weezer,0.634,0.927
3PvzvltQZLIKk9YgoMP3Yq,alternative,The Mother We Share,CHVRCHES,0.317,0.716
29YBihzQOmat0U74k4ukdx,alternative,Ironic,Alanis Morissette,0.293,0.635
2x0GSYjILjflppGT3NpWtR,alternative,Borders Are...,Serj Tankian,0.0762,0.932
7oK9VyNzrYvRFo7nQEYkWN,alternative,Mr. Brightside,The Killers,0.232,0.924
4s9MBsOC7ntOehwpH0EJLL,alternative,Your Bones,Of Monsters and Men,0.327,0.725
1aB3C7GKpCFgsdhqzfZW0U,alternative,Bloodshake,Peace,0.247,0.841
3dvnVubqVeeOjabs0wC1YB,alternative,Gun Has No Trigger,Dirty Projectors,0.345,0.662
6CFNc0E6BDcB8YxeDoeRsc,ambient,L'ivresse des Profondeurs,Various Artists,0.134,0.444
2pN0C4dICHk5z2KRS3c66l,ambient,Sea,Patrick O'Hearn,0.0361,0.0942
6aSIDnecfBOP1oA8jK8lNh,ambient,Inversion,Bersarin Quartett,0.0308,0.183
6djRBKQoWVHgnFZNFP7dtd,ambient,Lost,Hecq,0.613,0.15
5gaGARxmgIoSXmURSU95hG,ambient,Shell,Brian Eno,0.0249,0.166
4gDTwTId75QePmzeZ2woCQ,ambient,One Half,Julianna Barwick,0.0382,0.438
1Qq3prahymiO6FlKoT7JPC,ambient,Breathing Place,Vibrasphere,0.529,0.814
7zjWtWDCNgeXSY78nLzBQJ,ambient,Digging Shelters,Neil Halstead,0.279,0.274
7m2iqOIBuCT0XvMkv4wYNv,ambient,"Requiem for Dying Mothers, Pt. 2",Stars Of The Lid,0.0342,0.133
1R8yRnLBJJbPPwLBZgEcp9,ambient,Elegy,Tycho,0.171,0.417
603a34fptkKclXK0LhM9Ie,anime,Summer Vacation Love,i☆Ris,0.774,0.98
7umZyNubk0B6hCjNiOYG37,anime,reunion,ClariS,0.852,0.963
6ScLvmFCKZzce4a7nf9RM1,anime,Everybody's Gonna Be Happy - テレビサイズ,Various Artists,0.767,0.797
5pn3AD5ipKMYQvxB6AAHqz,anime,カゲロウ,ЯeaL,0.578,0.985
6GzDHBrrGNJzqnszNWN5fu,anime,Lightless,Luna Haruna,0.368,0.827
2tHhf6jFeMvV4mvzkXIz6j,anime,I & I,Leola,0.334,0.523
02YwWNpxv4coWsZjRBTSG9,anime,素顔でKISS ME,"Wake Up, Girls!",0.507,0.925
6gWMHuuvV1c63JHZHft8zA,anime,Gravity,ClariS,0.787,0.938
7MXXUCXsi4RlCVRBSvUM4u,anime,傷跡,Kalafina,0.2,0.564
5SESuzrqsIPYQGVSAQMe9e,anime,誘惑amor,楚神ウリエ(CV.近藤隆),0.933,0.763
2K5ogjsR8cNDvRDrS3JKjv,black-metal,The Source of Icon E,Emperor,0.0386,0.928
6HK5nD9HgDhCtl2C7WS5H1,black-metal,Einfuhlungsvermogen,Burzum,0.0537,0.0224
5S22lhwri5iTC3CWtouqdA,black-metal,Trolldom,Taake,0.0295,0.998
6taCCCEVkAfhh4Ie9QaINe,black-metal,The Sun No Longer Rises,Immortal,0.0969,0.864
1doKqMLxp0LBFqz79nFy3M,black-metal,At The Fathomless Depths,Dissection,0.529,0.421
4olrcGoNbLPNT87HG298SO,black-metal,That Darkness Shall Be Eternal,Satyricon,0.288,0.977
1hMvlPP5B2VNdQkoyPG7Df,black-metal,Tonight in Flames,Cradle Of Filth,0.452,0.943
4rN6FwvfTuU7dr8SPPDVK1,black-metal,Chosen By No One,Nachtmystium,0.0721,0.973
4FkVlrkjYrZ3cHk2iAhUVP,black-metal,Behind The Curtains Of Night-Phantasmagoria,Dimmu Borgir,0.0379,0.984
3vrxTCAEKTKQ4vCGJfOEI1,black-metal,Nexion 218,Dissection,0.18,0.717
2mt2SEx62smnEgE5owBH8Q,bluegrass,Can’t Complain,Nickel Creek,0.192,0.349
71aoPq0Cez3dtsSMXJHqXI,bluegrass,Long Way To Go,Railroad Earth,0.833,0.877
0jg9yMM5YlpAV7pMplYgd0,bluegrass,Black Magic Woman,Pickin' On Series,0.761,0.495
137eR2XOLMm2ShEepyvygi,bluegrass,New Favorite,Alison Krauss & Union Station,0.124,0.112
2fYANwPlbQKd3nijxm7UDT,bluegrass,Not Tonight,The Infamous Stringdusters,0.284,0.424
6x76kqGP3y8PIoaFEhSXEu,bluegrass,The Greatest Hustler Of All,Old Crow Medicine Show,0.239,0.183
2cjZm8yD9FQjfJYCA6Sqfg,bluegrass,Undone In Sorrow,Crooked Still,0.317,0.372
2DOYz1BhYL8APljVhypdgf,bluegrass,Bury Me Beneath the Willow,Chris Thile,0.641,0.255
2tHMU12qa11LehfMhMMGcM,bluegrass,Riro's House,Carolina Chocolate Drops,0.744,0.868
6fuXJKtwETEgdLqu9gvuDv,bluegrass,Take Me In A Lifeboat,Earl Scruggs,0.961,0.361
4pQbNC3AZ3cNice390h4GI,blues,"Good Morning, School Girl",Sonny Boy Williamson I,0.707,0.0758
1TyCTyCab7MMTadRWoXYbT,blues,Trouble No More - Live At The Fillmore East/1971,Allman Brothers Band,0.665,0.73
3dtyzMprDU10ZgnxYXYwui,blues,Playin' With My Friends,B.B. King,0.793,0.743
74s9O1DfdjezivOiFNYicf,blues,Rockin' Daddy,Howlin' Wolf,0.607,0.804
51FpzuGkRYXFgsE2zXt9av,blues,When a Man Loves a Woman,Percy Sledge,0.205,0.15
1ZTdrHAfVVoij7fe3iFozS,blues,Rude Mood,Stevie Ray Vaughan,0.768,0.961
6um1loZomW1veT1gU3hmtL,blues,Poor Johnny,Robert Cray,0.875,0.726
5VCFpmDPHVkttBhGdi76GF,blues,Oh Pretty Woman,John Mayall & The Bluesbreakers,0.702,0.342
7dj3ONhn6GW7ebGZS22Vpt,blues,Close to You,Muddy Waters,0.786,0.595
0BrmbJnPYcd7gnvLYqxw0r,blues,What Kind Of Woman Is This?,Buddy Guy,0.882,0.586
6dvNnlBj8DQEQE8YiqmccO,bossanova,Rapaz de Bem (Nice Guy),Carlos Lyra,0.307,0.153
3wXAfdNgLc6UzhHpHH5Cr8,bossanova,As Polegadas de Mulata,Elza Soares,0.86,0.397
660gpeXqguDZc9mxSzcy4m,bossanova,Bye Bye Brasil,Eddy Palermo,0.725,0.61
3MqeSdThipdhFIgkH7w2ST,bossanova,Moça Flor,Marcos Valle,0.121,0.26
2fNREKcsUJbp62WefiOwzB,bossanova,Night and Day,Bebel Gilberto,0.125,0.107
0RkkIqFVFygYOqzInrYffy,bossanova,Waraou,Ale Vanzella,0.427,0.331
5fkAlnOp0aOqS0jEmVGths,bossanova,Two Kites / Fotografia / Eu Preciso De Você,Wanda Sá,0.809,0.447
6z5Ec9bB3E5I3gyL2E7dBk,bossanova,Maria,Laurindo Almeida and The Bossa Nova All Stars,0.644,0.186
4Pvsf8EWQHVmiMGE5K6QWc,bossanova,Canga de Sausade,Joao Gilberto & Astrud Gilberto,0.719,0.18
5HIBoi9tyZnkxjfDdv8tia,bossanova,Samba Do Carioca,Toquinho,0.882,0.501
1Thcp2JGBWW1edul945eW3,brazil,De Todos os Loucos do Mundo,Clarice Falcão,0.809,0.339
7mrL741YwpaiRKg56zakhb,brazil,Não Existe Amor Em SP,Criolo,0.349,0.41
1BGrHLBKZCVGslxe0dSExv,brazil,Metamorfose ambulante,"Antonio Pinto, Ed Cortes",0.6,0.553
3WOAyxXLXWJJx2wZHJJT2X,brazil,Balada (Tchê Tcherere Tchê Tchê),Gusttavo Lima,0.857,0.949
6KHavXdYptg58jxQSES3mg,brazil,Magalenha,Sérgio Mendes,0.597,0.87
1tg4ajDHN3Cr5o7arUtN5k,brazil,Me encontra,Various Artists,0.686,0.954
3pSTUZbp7J5jg2JHChTf21,brazil,A Menina Dança,Novos Baianos,0.91,0.677
6q042pQaILWdtxJxbf0jXj,brazil,Life On Mars?,Various Artists,0.437,0.133
0JUdM6lKJafF1ucVO3PgBK,brazil,O Segundo Sol,Cássia Eller,0.507,0.703
1Tditr5KyzStSK3GiO6Xlj,brazil,Maus Bocados,Cristiano Araújo,0.854,0.837
62vc0QmFXIyziLnOMMxMR9,breakbeat,RaveULator - High Eight Remix,Future Funk Squad,0.53,0.925
5UAbuLFYzS69nQRav9EwJq,breakbeat,The Time is Now,Moloko,0.687,0.716
1eYB103KuhSNFXmXhp58nP,breakbeat,Be Good - NAPT Remix,Various Artists,0.83,0.946
0PvdCkxxUMjBipIIiIeLqk,breakbeat,California Uber Alles,Various Artists,0.519,0.608
6PZymIEzY7c97Gowr8gzUV,breakbeat,Ill Funk Slammer,Agent K,0.758,0.983
7KY40pRBPKQSaSe0j5nKUK,breakbeat,The Boys Of Summer,Don Henley,0.859,0.776
530guMsQMYIhaBcl5wtWFD,breakbeat,Play,Various Artists,0.13,0.659
4dTMU4O2DdyIlRlss7v9UP,breakbeat,Insane in the Brain,Cypress Hill,0.77,0.705
1dPZC3LbZjsYZmVPSnuwKp,breakbeat,The Garden,Cut Chemist,0.693,0.831
23v60eC0jYd0yyQKWOYt6R,breakbeat,Apocalypse,Agent K,0.516,0.937
3jWg24dgB34rPV09ulLoIc,british,Suck It and See,Arctic Monkeys,0.586,0.932
3aABdPd96JkyvI9ZmHPLIZ,british,See The World,The Kooks,0.703,0.962
13bEwk7dTy0RdOAY3ZNNBD,british,Golden Touch - Full Length,Razorlight,0.695,0.532
33fdvicpRVPWCPz19Obajn,british,Back To Black,Amy Winehouse,0.335,0.725
6TBmUrZflEhWqkuEWxaoEU,british,Golden Skans,Various Artists,0.723,0.817
3kSE08EYzWQSAf6o1v2U4V,british,Back For You,One Direction,0.563,0.918
4s47q0bdRRyuObo8oVvETa,british,A Well Respected Man,The Kinks,0.618,0.791
5CPITapBZTyeQDxNkQYDte,british,Bigmouth Strikes Again - 2008 Remaster,The Smiths,0.707,0.926
0U4NRZT9CAMNsjHtPLc1lI,british,Chocolate - Revised Album Version,Snow Patrol,0.472,0.811
3ViMAvyCcmbRauKuoP2GJm,british,Old Yellow Bricks,Arctic Monkeys,0.757,0.837
7ucmhR5kMfJ3BNuWbG90l8,cantopop,陪著你走,RubberBand,0.133,0.297
3CAvJnkVjT7YeN7kgqIDKh,cantopop,雖然離開,張茵,0.226,0.326
5D00KefEuNxVjPq9shoOqK,cantopop,吻感,Ekin Cheng,0.305,0.248
3gkHdx2M7xmHWSP3fztytH,cantopop,Baby Don't Cry,William Chan,0.656,0.806
7j4j2c5Gphj44V6UV7K45R,cantopop,忘記他是她,Shirley Kwan,0.186,0.591
0tYpzqhwT83aJQ4cEmEO8F,cantopop,"如果你知我苦衷 - 電影""藍江傳之反飛組風雲""歌曲",Vivian Chow,0.144,0.575
6oOgAtLgehK6OarIVvnRjv,cantopop,七年,Alex Fong,0.178,0.264
76zNkD0V1whVquPW6ai1mz,cantopop,給自己的情歌,Gigi Leung,0.503,0.508
0wnBP6mLZXUqTkcahbs579,cantopop,Jin Tian Zhong Yu Yi Ren Hui Jia,Gin Lee,0.375,0.759
5C9SiwLTVxUmUvvtjIe63Z,cantopop,結他低泣時,夏韶聲,0.398,0.287
3t6MFAwXMixSSQe4jMRCVl,chicago-house,Native Love,Divine,0.696,0.811
4NMtuxWfOPR6yNjAX0AWrR,chicago-house,Keep On Movin',Soul II Soul,0.686,0.47
1tnHsVeArIFRpzQvFchZCt,chicago-house,The Acid Life,Various Artists,0.546,0.959
6MDIunkg3JqysXHHXBfkeL,chicago-house,Jealousy And Lies,Various Artists,0.714,0.773
4yYqY1AhA63WzJ1sc9RYYR,chicago-house,"Good Times - Original 12"" Mix",Various Artists,0.934,0.452
3KAn1EEsOVjep0Y15UNtTr,chicago-house,Whadda U Want (From Me),Frankie Knuckles,0.956,0.861
1VbfW1y43K7XUcKMZjBtre,chicago-house,Domesticated,Various Artists,0.141,0.67
7kcUCIpVBK6w1OwoiiPSpi,chicago-house,Raw Cuts #3,Motor City Drum Ensemble,0.154,0.855
2oCYH1y2kyvgfwBzJqebxd,chicago-house,Acid 8000,Fatboy Slim,0.194,0.968
3mNxQ198mdIigqmNqwRweg,chicago-house,Fascinating Rhythm,Bass-o-Matic,0.766,0.636
5fnA9mkIfScSqHIpeDyvck,children,Prayer in C - Robin Schulz Radio Edit,Lilly Wood and The Prick,0.8,0.875
0nJW01T7XtvILxQgC5J7Wh,children,When I Was Your Man,Bruno Mars,0.387,0.28
5qDo0UJ8No2MH27njAM2xb,children,I'm Wishing/One Song - Soundtrack,Various Artists,0.307,0.205
5lA6mFOvaiienokVbTZEQx,children,Mambo No. 5 (A Little Bit of...),Lou Bega,0.901,0.802
7jSQaXLzpLHjSQTev2krvT,children,Nemo Egg (Main Title),Thomas Newman,0.0553,0.0248
2ia7iiEtpiOL2ZVuWxBZGB,children,I Will Never Let You Down,Rita Ora,0.794,0.801
2GAIycsMaDVtMtdvxzR2xI,children,Bohemian Rhapsody - Remastered 2011,Queen,0.228,0.402
7yyTZAgwQUy1a5kDjQJJNN,children,"Poor Unfortunate Souls - From ""The Little Mermaid"" / Soundtrack Version",Various Artists,0.362,0.171
1i5ZMT3Qoe35MgKpoJYbm7,children,Time for Your Check Up,Various Artists,0.632,0.911
0AGaQWfuNHiXwDq5NDBK9X,children,Not A Love Song,Austin Moon,0.72,0.797
5g7rJvWYVrloJZwKiShqlS,chill,Dirty Paws,Of Monsters and Men,0.133,0.649
3QNYzWcyqAsRsgg1N1oz3C,chill,Big Sky - Acoustic Mix,Various Artists,0.143,0.212
336ZYcU6poBWi3s8yzRcAD,chill,I Follow Rivers,Lykke Li,0.607,0.533
5Fli1xRi01bvCjsZvKWro0,chill,Houdini,Foster The People,0.764,0.908
45kbpUIFmkS9Xla7hMXpzn,chill,One More Night,Maroon 5,0.613,0.82
1Dl44SWywsIDdz1GgIp9gG,chill,Infinity,The xx,0.142,0.267
3RgR3cFZ6xh7MlB9DURK6e,chill,Shadow Days,John Mayer,0.254,0.559
13qqdlSeF8FcxsRyapDMZ0,chill,Changes,Faul & Wad Ad,0.255,0.704
451GvHwY99NKV4zdKPRWmv,chill,Banana Pancakes,Jack Johnson,0.615,0.375
6D5pfooPP6hi99RaXjkDsP,chill,Summertime Sadness [Lana Del Rey vs. Cedric Gervais] - Cedric Gervais Remix,Lana Del Rey,0.114,0.813
4m5rO8vfR0H6V4J8sKTU2J,classical,"Orff: Carmina Burana, Introduction, Fortuna Imperatrix Mundi: O Fortuna",Sir Charles Mackerras,0.584,0.197
1n8NKQRg8LVHy7oUhUgbFF,classical,Hedwig's Theme,John Williams,0.077,0.162
7qBdLnaOLZq3mwsuTkR3QI,classical,"Symphony No. 1 in C Minor, WAB 101 - Edition Nowak (Linzer Fassung, 1866): I. Allegro",Anton Bruckner,0.0492,0.0734
7BGAMCTqrjjH2tSdrDsmv6,classical,"Stucky : Cradle Songs : II ""Lilajze, Jezuniu""",Chanticleer,0.0299,0.0122
7pHdkCXkeC8AYHMcIDzUdf,classical,"The Planets, Op. 32: Jupiter, the Bringer of Jollity",Stuttgart Radio Symphony Orchestra,0.279,0.229
5PvjR65Uvf6nwBe0Ko9O7z,classical,"Madam Butterfly (Act II): Un bel di, vedremo (Butterfly)",Giacomo Puccini,0.0385,0.111
2Yjv7MOdst5y6fFsq4cKOL,classical,The Heart Asks Pleasure First / The Promise - Edit,Michael Nyman,0.231,0.276
393IXhr8v1Y5Ze5DOf9jaV,classical,"Don Giovanni, ossia Il dissoluto punito, K.527: Overture",Wolfgang Amadeus Mozart,0.268,0.105
0PuxFPoTO5Ox8JLxO7JuZX,classical,Erupting Light,Hildur Guðnadóttir,0.142,0.256
1H9rGpQ1Xqh45Y13mzfJvU,classical,Clarinet Concerto in B-Flat Major (reconstructed R. Meylan): I. Andante sostenuto,Gaetano Donizetti,0.0661,0.0121
4ZShsMZrAhAvemrjx1wxuv,club,produk 29 [101],Aphex Twin,0.313,0.564
3sCOSNH82pkeCMqudYibjb,club,Netzwerk (Falls Like Rain),Various Artists,0.265,0.71
5y1jZxXIpECpclpbA76zVm,club,Party Rock Anthem,LMFAO,0.352,0.736
2GQEM9JuHu30sGFvRYeCxz,club,Faded,ZHU,0.614,0.477
5oPUBUzrAnwvlmMzl1VW7Y,club,Breathe,The Prodigy,0.32,0.822
77sVUchtzjpetfDZC9L59d,club,Complètement fou,Yelle,0.512,0.506
0GSU6yLOJqO10ziQuBLWOE,club,One Day (Vandaag) - Radio Edit,Bakermat,0.57,0.594
1qoWyW73DTDprvFpnsVO5H,club,Galvanize - Edit,The Chemical Brothers,0.354,0.674
5GjnIpUlLGEIYk052ISOw9,club,This Is What It Feels Like,Armin van Buuren,0.145,0.833
2QtJA4gbwe1AcanB2p21aP,club,Stay The Night - Featuring Hayley Williams Of Paramore,Zedd,0.461,0.738
6hmx9X7xA2d3zQXXl8H45N,comedy,The female brain,Whitney Cummings,0.318,0.956
2pFgpKkRGImFcwgLf87hg5,comedy,"Drugs, Alcoholism, And More Drugs - Explicit Audio",Robin Williams,0.188,0.947
75TZt74YXA1KOqgGAr4cSs,comedy,Drive,Rory Scovel,0.583,0.631
6XGTmjk1bQgxGc3wjwPCvH,comedy,My Niece,Steve Harvey,0.24,0.823
7jjv4PM2Pv8xxdgkr5PNWQ,comedy,Boxin',Martin Lawrence,0.452,0.6
1ICf1jSEy2OaQEXFj1H5Lt,comedy,Hot Travel Tips,Todd Barry,0.321,0.882
3ZsBVcedifm2toPTeBp4sW,comedy,Hot Girls In Bars And Their Dude Counterparts,Louis C.K.,0.122,0.973
5PiSY6VrudzjoDNlwBsDS3,comedy,5,Daniel Tosh,0.236,0.96
7tDjdObqXVf94VXvpLZ1Uo,comedy,Biting A Puppy,Todd Glass,0.738,0.8
497RhabXN14IDFq6BMzqED,comedy,This Woman I Met,Steven Wright,0.0303,0.995
5HGibWoxnkYSkl6mHmAlOE,country,That's My Kind Of Night,Luke Bryan,0.875,0.751
5pvPRmTbfhhpGJweKDJE7G,country,Wacky Tobaccy,Toby Keith,0.873,0.914
38CnG9HxpVtqXVqpESBr6H,country,Too Much Fun,Daryle Singletary,0.797,0.888
77Y57qRJBvkGCUw9qs0qMg,country,In the Blood,John Mayer,0.518,0.655
53rP0JKz6J3U1H6rIwBwjM,country,Texas Lullaby,Aaron Watson,0.401,0.649
7BB3emVX0QaFVddCHiO9wt,country,Drinkin' Bone,Tracy Byrd,0.964,0.833
7nDLdzyh2IDjL77JBmZTiQ,country,Make A Little,Midland,0.827,0.874
58spuRyMUsjKHQHEGwLC99,country,80s Mercedes,Maren Morris,0.659,0.834
52m2aSz4K783RyhWGareXS,country,Long Line of Losers,Kevin Fowler,0.481,0.718
1LZNdHSaGjV2S9q8BrZwnh,country,If the Boot Fits,Granger Smith,0.885,0.928
4bciEWCPPeR2UiVloDyUc5,dance,"Devil (feat. Busta Rhymes, B.o.B & Neon Hitch)",Cash Cash,0.335,0.765
18OntfCQE68VV5Is76yHRL,dance,Dear Life (feat. Jaw),Claptone,0.793,0.677
5j0FoZi8Z7vCrO1JTn3Th2,dance,Don't Matter (feat. Darianna Everett),Cherokee,0.524,0.518
5auepChUKwbHO1NWBwqGBN,dance,One Last Night On Earth - Speaker Of The House Remix,Dada Life,0.126,0.832
46OWk8DokIhXVhTr4i12iK,dance,The Last Of Us - Alexander Popov Remix,David Gravell,0.206,0.945
7lfiw21G0E3Fqqjs6s44xj,dance,Hold Your Hand,JAHKOY,0.348,0.776
29yTYeI2H6Lb3tGzhxiwlS,dance,The Mara - Duke Dumont Edit,Kiwi,0.569,0.824
6dW7L3I9rUBPJoqGlKSAOS,dance,GAMMA GAMMA - Brillz Remix,Tritonal,0.264,0.987
00cJC0Q48bwNMLEo5V5gxU,dance,No One (feat. Thelma Plum),Golden Features,0.255,0.549
4QqlfK1yqd8A4hykzkqSIA,dance,Scud Books,Hudson Mohawke,0.55,0.508
3LeDMuE7LgXfzMG2eyBA5D,dancehall,Galapoly,Vybz Kartel,0.771,0.881
4nCIJJ0ITdV81DxatWRj70,dancehall,Bookshelf,Beenie Man,0.778,0.619
5L35cBIoT8jYsMsy6ngqqU,dancehall,Get Gyal Easy,Popcaan,0.682,0.681
6uufzRkA8oCsvnz2QSoJ4J,dancehall,Oh Carolina,Shaggy,0.915,0.913
1rsljGlkqeLbe5EevPrQGs,dancehall,Party Up In Here,Elephant Man,0.495,0.967
0gr0V2rkou4tcxOinvmzJu,dancehall,Thank God Fi Di Gal Dem,Various Artists,0.631,0.782
3RJJVcnKhSSKRB6NC7nSAg,dancehall,Lyricist,Vybz Kartel,0.593,0.895
2w7Cyllyv4El4wKqe7spNd,dancehall,Top Shotta Nah Miss,Mavado,0.477,0.77
0PmWReAKP5om5ctzuMrSB3,dancehall,MorderDem Ver. 2,EaggerStunn,0.552,0.736
04gWE87MhELV3DffC8iUMj,dancehall,Bad People,Various Artists,0.842,0.909
3gmBeuuzYLAljBDqOM9WHW,death-metal,Rebirth Of Humanity,Bolt Thrower,0.474,0.862
1Uqi5XCus8O7zjh4Ybj1SB,death-metal,The Anomaly,Scar Symmetry,0.141,0.991
3J8VYy4AukNEyQnaRnBMjZ,death-metal,Addicted to Vaginal Skin,Cannibal Corpse,0.247,0.987
3niFdLGDctVmD9ZshmW2XB,death-metal,"To Ride, Shoot Straight And Speak The Truth",Entombed,0.0383,0.994
06rXbR5UxR6H1QwZi22Qi2,death-metal,Soulless,Grave,0.242,0.84
2mJjOPGlC7k6jRHn24Tuhj,death-metal,Rise Of The Undead,Vader,0.0921,0.989
0fSXUcMQosp1c9R9w7Y478,death-metal,Silence,Decapitated,0.0349,0.0523
1yrPGfz514vu5mLZv8UKss,death-metal,Epitaph of the Credulous,Suffocation,0.299,0.854
0iUjByyDac7nRb6SXttmE2,death-metal,For Us or Against Us,Dying Fetus,0.255,0.976
